Time	Cur J1	Cur J2	Cur J3	Cur J4	Cur J5	Cur J6	Cur J7	Cur J8	Max J1	Max J2	Max J3	Max J4	Max J5	Max J6	Max J7	Max J8	Abs Max J1	Abs Max J2	Abs Max J3	Abs Max J4	Abs Max J5	Abs Max J6	Abs Max J7	Abs Max J8
14:31:35,386	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,4100	0,8700	0,7300	0,0000	0,2000	0,0700	0,0000	0,0000
14:31:35,703	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,4100	0,8700	0,7300	0,0000	0,2000	0,0700	0,0000	0,0000
14:31:35,987	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,4100	0,8700	0,7300	0,0000	0,2000	0,0700	0,0000	0,0000
14:31:36,192	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,4100	0,8700	0,7300	0,0000	0,2000	0,0700	0,0000	0,0000
14:31:36,523	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,4100	0,8700	0,7300	0,0000	0,2000	0,0700	0,0000	0,0000
14:31:36,726	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,4100	0,8700	0,7300	0,0000	0,2000	0,0700	0,0000	0,0000
14:31:37,032	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,4100	0,8700	0,7300	0,0000	0,2000	0,0700	0,0000	0,0000
14:31:37,316	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,4100	0,8700	0,7300	0,0000	0,2000	0,0700	0,0000	0,0000
14:31:37,510	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,4100	0,8700	0,7300	0,0000	0,2000	0,0700	0,0000	0,0000
14:31:37,851	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,4100	0,8700	0,7300	0,0000	0,2000	0,0700	0,0000	0,0000
14:31:38,052	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,4100	0,8700	0,7300	0,0000	0,2000	0,0700	0,0000	0,0000
14:31:38,379	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,4100	0,8700	0,7300	0,0000	0,2000	0,0700	0,0000	0,0000
14:31:38,574	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,4100	0,8700	0,7300	0,0000	0,2000	0,0700	0,0000	0,0000
14:31:38,893	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,4100	0,8700	0,7300	0,0000	0,2000	0,0700	0,0000	0,0000
14:31:39,159	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,4100	0,8700	0,7300	0,0000	0,2000	0,0700	0,0000	0,0000
14:31:39,486	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,4100	0,8700	0,7300	0,0000	0,2000	0,0700	0,0000	0,0000
14:31:39,659	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,4100	0,8700	0,7300	0,0000	0,2000	0,0700	0,0000	0,0000
14:31:39,981	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,4100	0,8700	0,7300	0,0000	0,2000	0,0700	0,0000	0,0000
14:31:40,265	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,4100	0,8700	0,7300	0,0000	0,2000	0,0700	0,0000	0,0000
14:31:40,488	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,4100	0,8700	0,7300	0,0000	0,2000	0,0700	0,0000	0,0000
14:31:40,797	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,4100	0,8700	0,7300	0,0000	0,2000	0,0700	0,0000	0,0000
14:31:41,051	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,4100	0,8700	0,7300	0,0000	0,2000	0,0700	0,0000	0,0000
14:31:41,337	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,4100	0,8700	0,7300	0,0000	0,2000	0,0700	0,0000	0,0000
14:31:41,547	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,4100	0,8700	0,7300	0,0000	0,2000	0,0700	0,0000	0,0000
14:31:41,870	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,4100	0,8700	0,7300	0,0000	0,2000	0,0700	0,0000	0,0000
14:31:42,073	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,4100	0,8700	0,7300	0,0000	0,2000	0,0700	0,0000	0,0000
14:31:42,429	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,4100	0,8700	0,7300	0,0000	0,2000	0,0700	0,0000	0,0000
14:31:42,703	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,4100	0,8700	0,7300	0,0000	0,2000	0,0700	0,0000	0,0000
14:31:42,990	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,4100	0,8700	0,7300	0,0000	0,2000	0,0700	0,0000	0,0000
14:31:43,198	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,4100	0,8700	0,7300	0,0000	0,2000	0,0700	0,0000	0,0000
14:31:43,523	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,4100	0,8700	0,7300	0,0000	0,2000	0,0700	0,0000	0,0000
14:31:43,729	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,4100	0,8700	0,7300	0,0000	0,2000	0,0700	0,0000	0,0000
14:31:44,050	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,4100	0,8700	0,7300	0,0000	0,2000	0,0700	0,0000	0,0000
14:31:44,327	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,4100	0,8700	0,7300	0,0000	0,2000	0,0700	0,0000	0,0000
14:31:44,637	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,4100	0,8700	0,7300	0,0000	0,2000	0,0700	0,0000	0,0000
14:31:44,834	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,4100	0,8700	0,7300	0,0000	0,2000	0,0700	0,0000	0,0000
14:31:45,154	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,4100	0,8700	0,7300	0,0000	0,2000	0,0700	0,0000	0,0000
14:31:45,474	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,4100	0,8700	0,7300	0,0000	0,2000	0,0700	0,0000	0,0000
14:31:45,637	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,4100	0,8700	0,7300	0,0000	0,2000	0,0700	0,0000	0,0000
14:31:45,986	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,4100	0,8700	0,7300	0,0000	0,2000	0,0700	0,0000	0,0000
14:31:46,194	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,4100	0,8700	0,7300	0,0000	0,2000	0,0700	0,0000	0,0000
14:31:46,535	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,4100	0,8700	0,7300	0,0000	0,2000	0,0700	0,0000	0,0000
14:31:46,901	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,4100	0,8700	0,7300	0,0000	0,2000	0,0700	0,0000	0,0000
14:31:47,186	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,4100	0,8700	0,7300	0,0000	0,2000	0,0700	0,0000	0,0000
14:31:47,479	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,4100	0,8700	0,7300	0,0000	0,2000	0,0700	0,0000	0,0000
14:31:47,734	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,4100	0,8700	0,7300	0,0000	0,2000	0,0700	0,0000	0,0000
14:31:48,022	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,4100	0,8700	0,7300	0,0000	0,2000	0,0700	0,0000	0,0000
14:31:48,227	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,4100	0,8700	0,7300	0,0000	0,2000	0,0700	0,0000	0,0000
14:31:48,584	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,4100	0,8700	0,7300	0,0000	0,2000	0,0700	0,0000	0,0000
14:31:48,943	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,4100	0,8700	0,7300	0,0000	0,2000	0,0700	0,0000	0,0000
14:31:49,226	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,4100	0,8700	0,7300	0,0000	0,2000	0,0700	0,0000	0,0000
14:31:49,517	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,4100	0,8700	0,7300	0,0000	0,2000	0,0700	0,0000	0,0000
14:31:49,725	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,4100	0,8700	0,7300	0,0000	0,2000	0,0700	0,0000	0,0000
14:31:50,029	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,4100	0,8700	0,7300	0,0000	0,2000	0,0700	0,0000	0,0000
14:31:50,233	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,4100	0,8700	0,7300	0,0000	0,2000	0,0700	0,0000	0,0000
