Time	J1	J2	J3	J4	J5	J6	J7	J8	X	Y	Z	A	B	C	L1	L2
16:17:49,485	-1,370	49,020	33,720	0,000	40,550	0,330	0,000	0,000	407,530	-9,760	444,630	1,090	123,290	0,000	0,000	0,000
16:17:49,749	-1,370	49,020	33,720	0,000	40,550	0,330	0,000	0,000	407,530	-9,760	444,630	1,090	123,290	0,000	0,000	0,000
16:17:50,009	-1,370	49,020	33,720	0,000	40,550	0,330	0,000	0,000	407,530	-9,760	444,630	1,090	123,290	0,000	0,000	0,000
16:17:50,269	-1,370	49,020	33,720	0,000	40,550	0,330	0,000	0,000	407,530	-9,760	444,630	1,090	123,290	0,000	0,000	0,000
16:17:50,540	-1,370	49,020	33,720	0,000	40,550	0,330	0,000	0,000	407,530	-9,760	444,630	1,090	123,290	0,000	0,000	0,000
16:17:50,803	-1,370	49,020	33,720	0,000	40,550	0,330	0,000	0,000	407,530	-9,760	444,630	1,090	123,290	0,000	0,000	0,000
16:17:51,073	-1,370	49,020	33,720	0,000	40,550	0,330	0,000	0,000	407,530	-9,760	444,630	1,090	123,290	0,000	0,000	0,000
16:17:51,339	-1,370	49,020	33,720	0,000	40,550	0,330	0,000	0,000	407,530	-9,760	444,630	1,090	123,290	0,000	0,000	0,000
16:17:51,613	-1,370	49,020	33,720	0,000	40,550	0,330	0,000	0,000	407,530	-9,760	444,630	1,090	123,290	0,000	0,000	0,000
16:17:51,882	-1,370	49,020	33,720	0,000	40,550	0,330	0,000	0,000	407,530	-9,760	444,630	1,090	123,290	0,000	0,000	0,000
16:17:52,149	-1,370	49,020	33,720	0,000	40,550	0,330	0,000	0,000	407,530	-9,760	444,630	1,090	123,290	0,000	0,000	0,000
16:17:52,411	-1,370	49,020	33,720	0,000	40,550	0,330	0,000	0,000	407,530	-9,760	444,630	1,090	123,290	0,000	0,000	0,000
16:17:52,686	-1,370	49,020	33,720	0,000	40,550	0,330	0,000	0,000	407,530	-9,760	444,630	1,090	123,290	0,000	0,000	0,000
16:17:52,955	-1,370	49,020	33,720	0,000	40,550	0,330	0,000	0,000	407,530	-9,760	444,630	1,090	123,290	0,000	0,000	0,000
16:17:53,239	-1,370	49,020	33,720	0,000	40,550	0,330	0,000	0,000	407,530	-9,760	444,630	1,090	123,290	0,000	0,000	0,000
16:17:53,510	-1,370	49,020	33,720	0,000	40,550	0,330	0,000	0,000	407,530	-9,760	444,630	1,090	123,290	0,000	0,000	0,000
16:17:53,785	-1,370	49,020	33,720	0,000	40,550	0,330	0,000	0,000	407,530	-9,760	444,630	1,090	123,290	0,000	0,000	0,000
16:17:54,052	-1,370	49,020	33,720	0,000	40,550	0,330	0,000	0,000	407,530	-9,760	444,630	1,090	123,290	0,000	0,000	0,000
16:17:54,321	-1,370	49,020	33,720	0,000	40,550	0,330	0,000	0,000	407,530	-9,760	444,630	1,090	123,290	0,000	0,000	0,000
16:17:54,593	-1,370	49,020	33,720	0,000	40,550	0,330	0,000	0,000	407,530	-9,760	444,630	1,090	123,290	0,000	0,000	0,000
16:17:54,866	-1,370	49,020	33,720	0,000	40,550	0,330	0,000	0,000	407,530	-9,760	444,630	1,090	123,290	0,000	0,000	0,000
16:17:55,142	-1,370	49,020	33,720	0,000	40,550	0,330	0,000	0,000	407,530	-9,760	444,630	1,090	123,290	0,000	0,000	0,000
16:17:55,413	-1,370	49,020	33,720	0,000	40,550	0,330	0,000	0,000	407,530	-9,760	444,630	1,090	123,290	0,000	0,000	0,000
16:17:55,684	-1,370	49,020	33,720	0,000	40,550	0,330	0,000	0,000	407,530	-9,760	444,630	1,090	123,290	0,000	0,000	0,000
16:17:55,959	-1,370	49,020	33,720	0,000	40,550	0,330	0,000	0,000	407,530	-9,760	444,630	1,090	123,290	0,000	0,000	0,000
16:17:56,222	-1,370	49,020	33,720	0,000	40,550	0,330	0,000	0,000	407,530	-9,760	444,630	1,090	123,290	0,000	0,000	0,000
16:17:56,493	-1,370	49,020	33,720	0,000	40,550	0,330	0,000	0,000	407,530	-9,760	444,630	1,090	123,290	0,000	0,000	0,000
16:17:56,764	-1,370	49,020	33,720	0,000	40,550	0,330	0,000	0,000	407,530	-9,760	444,630	1,090	123,290	0,000	0,000	0,000
16:17:57,026	-1,370	49,020	33,720	0,000	40,550	0,330	0,000	0,000	407,530	-9,760	444,630	1,090	123,290	0,000	0,000	0,000
16:17:57,302	-1,370	49,020	33,720	0,000	40,550	0,330	0,000	0,000	407,530	-9,760	444,630	1,090	123,290	0,000	0,000	0,000
16:17:57,569	-1,370	49,020	33,720	0,000	40,550	0,330	0,000	0,000	407,530	-9,760	444,630	1,090	123,290	0,000	0,000	0,000
16:17:57,844	-1,370	49,020	33,720	0,000	40,550	0,330	0,000	0,000	407,530	-9,760	444,630	1,090	123,290	0,000	0,000	0,000
16:17:58,113	-1,370	49,020	33,720	0,000	40,550	0,330	0,000	0,000	407,530	-9,760	444,630	1,090	123,290	0,000	0,000	0,000
16:17:58,376	-1,370	49,020	33,720	0,000	40,550	0,330	0,000	0,000	407,530	-9,760	444,630	1,090	123,290	0,000	0,000	0,000
16:17:58,638	-1,370	49,020	33,720	0,000	40,550	0,330	0,000	0,000	407,530	-9,760	444,630	1,090	123,290	0,000	0,000	0,000
16:17:58,914	-1,370	49,020	33,720	0,000	40,550	0,330	0,000	0,000	407,530	-9,760	444,630	1,090	123,290	0,000	0,000	0,000
16:17:59,187	-1,370	49,020	33,720	0,000	40,550	0,330	0,000	0,000	407,530	-9,760	444,630	1,090	123,290	0,000	0,000	0,000
16:17:59,454	-1,370	49,020	33,720	0,000	40,550	0,330	0,000	0,000	407,530	-9,760	444,630	1,090	123,290	0,000	0,000	0,000
16:17:59,726	-1,370	49,020	33,720	0,000	40,550	0,330	0,000	0,000	407,530	-9,760	444,630	1,090	123,290	0,000	0,000	0,000
16:17:59,992	-1,370	49,020	33,720	0,000	40,550	0,330	0,000	0,000	407,530	-9,760	444,630	1,090	123,290	0,000	0,000	0,000
16:18:00,265	-1,370	49,020	33,720	0,000	40,550	0,330	0,000	0,000	407,530	-9,760	444,630	1,090	123,290	0,000	0,000	0,000
16:18:00,523	-1,370	49,020	33,720	0,000	40,550	0,330	0,000	0,000	407,530	-9,760	444,630	1,090	123,290	0,000	0,000	0,000
16:18:00,795	-1,370	49,020	33,720	0,000	40,550	0,330	0,000	0,000	407,530	-9,760	444,630	1,090	123,290	0,000	0,000	0,000
16:18:01,073	-1,370	49,020	33,720	0,000	40,550	0,330	0,000	0,000	407,530	-9,760	444,630	1,090	123,290	0,000	0,000	0,000
16:18:01,350	-1,370	49,020	33,720	0,000	40,550	0,330	0,000	0,000	407,530	-9,760	444,630	1,090	123,290	0,000	0,000	0,000
16:18:01,625	-1,370	49,020	33,720	0,000	40,550	0,330	0,000	0,000	407,530	-9,760	444,630	1,090	123,290	0,000	0,000	0,000
16:18:01,900	-1,370	49,020	33,720	0,000	40,550	0,330	0,000	0,000	407,530	-9,760	444,630	1,090	123,290	0,000	0,000	0,000
16:18:02,167	-1,370	49,020	33,720	0,000	40,550	0,330	0,000	0,000	407,530	-9,760	444,630	1,090	123,290	0,000	0,000	0,000
16:18:02,436	-1,370	49,020	33,720	0,000	40,550	0,330	0,000	0,000	407,530	-9,760	444,630	1,090	123,290	0,000	0,000	0,000
16:18:02,701	-1,370	49,020	33,720	0,000	40,550	0,330	0,000	0,000	407,530	-9,760	444,630	1,090	123,290	0,000	0,000	0,000
16:18:02,974	-1,370	49,020	33,720	0,000	40,550	0,330	0,000	0,000	407,530	-9,760	444,630	1,090	123,290	0,000	0,000	0,000
16:18:03,252	-1,370	49,020	33,720	0,000	40,550	0,330	0,000	0,000	407,530	-9,760	444,630	1,090	123,290	0,000	0,000	0,000
16:18:03,523	-1,370	49,020	33,720	0,000	40,550	0,330	0,000	0,000	407,530	-9,760	444,630	1,090	123,290	0,000	0,000	0,000
16:18:03,792	-1,370	49,020	33,720	0,000	40,550	0,330	0,000	0,000	407,530	-9,760	444,630	1,090	123,290	0,000	0,000	0,000
16:18:04,067	-1,370	49,020	33,720	0,000	40,550	0,330	0,000	0,000	407,530	-9,760	444,630	1,090	123,290	0,000	0,000	0,000
16:18:04,344	-1,370	49,020	33,720	0,000	40,550	0,330	0,000	0,000	407,530	-9,760	444,630	1,090	123,290	0,000	0,000	0,000
16:18:04,619	-1,370	49,020	33,720	0,000	40,550	0,330	0,000	0,000	407,530	-9,760	444,630	1,090	123,290	0,000	0,000	0,000
16:18:04,888	-1,370	49,020	33,720	0,000	40,550	0,330	0,000	0,000	407,530	-9,760	444,630	1,090	123,290	0,000	0,000	0,000
16:18:05,158	-1,370	49,020	33,720	0,000	40,550	0,330	0,000	0,000	407,530	-9,760	444,630	1,090	123,290	0,000	0,000	0,000
16:18:05,428	-1,370	49,020	33,720	0,000	40,550	0,330	0,000	0,000	407,530	-9,760	444,630	1,090	123,290	0,000	0,000	0,000
16:18:05,695	-1,370	49,020	33,720	0,000	40,550	0,330	0,000	0,000	407,530	-9,760	444,630	1,090	123,290	0,000	0,000	0,000
16:18:05,967	-1,370	49,020	33,720	0,000	40,550	0,330	0,000	0,000	407,530	-9,760	444,630	1,090	123,290	0,000	0,000	0,000
16:18:06,246	-1,370	49,020	33,720	0,000	40,550	0,330	0,000	0,000	407,530	-9,760	444,630	1,090	123,290	0,000	0,000	0,000
16:18:06,523	-1,370	49,020	33,720	0,000	40,550	0,330	0,000	0,000	407,530	-9,760	444,630	1,090	123,290	0,000	0,000	0,000
16:18:06,801	-1,370	49,020	33,720	0,000	40,550	0,330	0,000	0,000	407,530	-9,760	444,630	1,090	123,290	0,000	0,000	0,000
16:18:07,067	-1,370	49,020	33,720	0,000	40,550	0,330	0,000	0,000	407,530	-9,760	444,630	1,090	123,290	0,000	0,000	0,000
16:18:07,349	-1,370	49,020	33,720	0,000	40,550	0,330	0,000	0,000	407,530	-9,760	444,630	1,090	123,290	0,000	0,000	0,000
16:18:07,627	-1,370	49,020	33,720	0,000	40,550	0,330	0,000	0,000	407,530	-9,760	444,630	1,090	123,290	0,000	0,000	0,000
16:18:07,897	-1,370	49,020	33,720	0,000	40,550	0,330	0,000	0,000	407,530	-9,760	444,630	1,090	123,290	0,000	0,000	0,000
16:18:08,173	-1,370	49,020	33,720	0,000	40,550	0,330	0,000	0,000	407,530	-9,760	444,630	1,090	123,290	0,000	0,000	0,000
16:18:08,444	-1,370	49,020	33,720	0,000	40,550	0,330	0,000	0,000	407,530	-9,760	444,630	1,090	123,290	0,000	0,000	0,000
16:18:08,721	-1,370	49,020	33,720	0,000	40,550	0,330	0,000	0,000	407,530	-9,760	444,630	1,090	123,290	0,000	0,000	0,000
16:18:08,988	-1,370	49,020	33,720	0,000	40,550	0,330	0,000	0,000	407,530	-9,760	444,630	1,090	123,290	0,000	0,000	0,000
16:18:09,256	-1,370	49,020	33,720	0,000	40,550	0,330	0,000	0,000	407,530	-9,760	444,630	1,090	123,290	0,000	0,000	0,000
16:18:09,534	-1,370	49,020	33,720	0,000	40,550	0,330	0,000	0,000	407,530	-9,760	444,630	1,090	123,290	0,000	0,000	0,000
16:18:09,806	-1,370	49,020	33,720	0,000	40,550	0,330	0,000	0,000	407,530	-9,760	444,630	1,090	123,290	0,000	0,000	0,000
16:18:10,069	-1,370	49,020	33,720	0,000	40,550	0,330	0,000	0,000	407,530	-9,760	444,630	1,090	123,290	0,000	0,000	0,000
16:18:10,339	-1,370	49,020	33,720	0,000	40,550	0,330	0,000	0,000	407,530	-9,760	444,630	1,090	123,290	0,000	0,000	0,000
16:18:10,612	-1,370	49,020	33,720	0,000	40,550	0,330	0,000	0,000	407,530	-9,760	444,630	1,090	123,290	0,000	0,000	0,000
16:18:10,878	-1,370	49,020	33,720	0,000	40,550	0,330	0,000	0,000	407,530	-9,760	444,630	1,090	123,290	0,000	0,000	0,000
16:18:11,146	-1,370	49,020	33,720	0,000	40,550	0,330	0,000	0,000	407,530	-9,760	444,630	1,090	123,290	0,000	0,000	0,000
16:18:11,431	-1,370	49,020	33,720	0,000	40,550	0,330	0,000	0,000	407,530	-9,760	444,630	1,090	123,290	0,000	0,000	0,000
16:18:11,708	-1,370	49,020	33,720	0,000	40,550	0,330	0,000	0,000	407,530	-9,760	444,630	1,090	123,290	0,000	0,000	0,000
16:18:11,982	-1,370	49,020	33,720	0,000	40,550	0,330	0,000	0,000	407,530	-9,760	444,630	1,090	123,290	0,000	0,000	0,000
16:18:12,252	-1,370	49,020	33,720	0,000	40,550	0,330	0,000	0,000	407,530	-9,760	444,630	1,090	123,290	0,000	0,000	0,000
16:18:12,526	-1,370	49,020	33,720	0,000	40,550	0,330	0,000	0,000	407,530	-9,760	444,630	1,090	123,290	0,000	0,000	0,000
16:18:12,803	-1,370	49,020	33,720	0,000	40,550	0,330	0,000	0,000	407,530	-9,760	444,630	1,090	123,290	0,000	0,000	0,000
16:18:13,082	-1,370	49,020	33,720	0,000	40,550	0,330	0,000	0,000	407,530	-9,760	444,630	1,090	123,290	0,000	0,000	0,000
16:18:13,345	-1,370	49,020	33,720	0,000	40,550	0,330	0,000	0,000	407,530	-9,760	444,630	1,090	123,290	0,000	0,000	0,000
16:18:13,612	-1,370	49,020	33,720	0,000	40,550	0,330	0,000	0,000	407,530	-9,760	444,630	1,090	123,290	0,000	0,000	0,000
16:18:13,888	-1,370	49,020	33,720	0,000	40,550	0,330	0,000	0,000	407,530	-9,760	444,630	1,090	123,290	0,000	0,000	0,000
16:18:14,160	-1,370	49,020	33,720	0,000	40,550	0,330	0,000	0,000	407,530	-9,760	444,630	1,090	123,290	0,000	0,000	0,000
16:18:14,436	-1,370	49,020	33,720	0,000	40,550	0,330	0,000	0,000	407,530	-9,760	444,630	1,090	123,290	0,000	0,000	0,000
16:18:14,709	-1,370	49,020	33,720	0,000	40,550	0,330	0,000	0,000	407,530	-9,760	444,630	1,090	123,290	0,000	0,000	0,000
16:18:14,975	-1,370	49,020	33,720	0,000	40,550	0,330	0,000	0,000	407,530	-9,760	444,630	1,090	123,290	0,000	0,000	0,000
16:18:15,238	-1,370	49,020	33,720	0,000	40,550	0,330	0,000	0,000	407,530	-9,760	444,630	1,090	123,290	0,000	0,000	0,000
16:18:15,511	-1,370	49,020	33,720	0,000	40,550	0,330	0,000	0,000	407,530	-9,760	444,630	1,090	123,290	0,000	0,000	0,000
16:18:15,786	-1,370	49,020	33,720	0,000	40,550	0,330	0,000	0,000	407,530	-9,760	444,630	1,090	123,290	0,000	0,000	0,000
16:18:16,061	-1,370	49,020	33,720	0,000	40,550	0,330	0,000	0,000	407,530	-9,760	444,630	1,090	123,290	0,000	0,000	0,000
16:18:16,332	-1,370	49,020	33,720	0,000	40,550	0,330	0,000	0,000	407,530	-9,760	444,630	1,090	123,290	0,000	0,000	0,000
16:18:16,608	-1,370	49,020	33,720	0,000	40,550	0,330	0,000	0,000	407,530	-9,760	444,630	1,090	123,290	0,000	0,000	0,000
16:18:16,885	-1,370	49,020	33,720	0,000	40,550	0,330	0,000	0,000	407,530	-9,760	444,630	1,090	123,290	0,000	0,000	0,000
16:18:17,159	-1,370	49,020	33,720	0,000	40,550	0,330	0,000	0,000	407,530	-9,760	444,630	1,090	123,290	0,000	0,000	0,000
16:18:17,431	-1,370	49,020	33,720	0,000	40,550	0,330	0,000	0,000	407,530	-9,760	444,630	1,090	123,290	0,000	0,000	0,000
16:18:17,698	-1,370	49,020	33,720	0,000	40,550	0,330	0,000	0,000	407,530	-9,760	444,630	1,090	123,290	0,000	0,000	0,000
16:18:17,973	-1,370	49,020	33,720	0,000	40,550	0,330	0,000	0,000	407,530	-9,760	444,630	1,090	123,290	0,000	0,000	0,000
16:18:18,233	-1,370	49,020	33,720	0,000	40,550	0,330	0,000	0,000	407,530	-9,760	444,630	1,090	123,290	0,000	0,000	0,000
16:18:18,509	-1,370	49,020	33,720	0,000	40,550	0,330	0,000	0,000	407,530	-9,760	444,630	1,090	123,290	0,000	0,000	0,000
16:18:18,785	-1,370	49,020	33,720	0,000	40,550	0,330	0,000	0,000	407,530	-9,760	444,630	1,090	123,290	0,000	0,000	0,000
16:18:19,053	-1,370	49,020	33,720	0,000	40,550	0,330	0,000	0,000	407,530	-9,760	444,630	1,090	123,290	0,000	0,000	0,000
16:18:19,324	-1,370	49,020	33,720	0,000	40,550	0,330	0,000	0,000	407,530	-9,760	444,630	1,090	123,290	0,000	0,000	0,000
16:18:19,589	-1,370	49,020	33,720	0,000	40,550	0,330	0,000	0,000	407,530	-9,760	444,630	1,090	123,290	0,000	0,000	0,000
16:18:19,855	-1,370	49,020	33,720	0,000	40,550	0,330	0,000	0,000	407,530	-9,760	444,630	1,090	123,290	0,000	0,000	0,000
16:18:20,129	-1,370	49,020	33,720	0,000	40,550	0,330	0,000	0,000	407,530	-9,760	444,630	1,090	123,290	0,000	0,000	0,000
16:18:20,402	-1,370	49,020	33,720	0,000	40,550	0,330	0,000	0,000	407,530	-9,760	444,630	1,090	123,290	0,000	0,000	0,000
16:18:20,671	-1,370	49,020	33,720	0,000	40,550	0,330	0,000	0,000	407,530	-9,760	444,630	1,090	123,290	0,000	0,000	0,000
16:18:20,944	-1,370	49,020	33,720	0,000	40,550	0,330	0,000	0,000	407,530	-9,760	444,630	1,090	123,290	0,000	0,000	0,000
16:18:21,223	-1,370	49,020	33,720	0,000	40,550	0,330	0,000	0,000	407,530	-9,760	444,630	1,090	123,290	0,000	0,000	0,000
16:18:21,489	-1,370	49,020	33,720	0,000	40,550	0,330	0,000	0,000	407,530	-9,760	444,630	1,090	123,290	0,000	0,000	0,000
16:18:21,761	-1,370	49,020	33,720	0,000	40,550	0,330	0,000	0,000	407,530	-9,760	444,630	1,090	123,290	0,000	0,000	0,000
16:18:22,030	-1,370	49,020	33,720	0,000	40,550	0,330	0,000	0,000	407,530	-9,760	444,630	1,090	123,290	0,000	0,000	0,000
16:18:22,300	-1,370	49,020	33,720	0,000	40,550	0,330	0,000	0,000	407,530	-9,760	444,630	1,090	123,290	0,000	0,000	0,000
16:18:22,574	-1,370	49,020	33,720	0,000	40,550	0,330	0,000	0,000	407,530	-9,760	444,630	1,090	123,290	0,000	0,000	0,000
16:18:22,835	-1,370	49,020	33,720	0,000	40,550	0,330	0,000	0,000	407,530	-9,760	444,630	1,090	123,290	0,000	0,000	0,000
16:18:23,112	-1,370	49,020	33,720	0,000	40,550	0,330	0,000	0,000	407,530	-9,760	444,630	1,090	123,290	0,000	0,000	0,000
16:18:23,382	-1,370	49,020	33,720	0,000	40,550	0,330	0,000	0,000	407,530	-9,760	444,630	1,090	123,290	0,000	0,000	0,000
16:18:23,650	-1,370	49,020	33,720	0,000	40,550	0,330	0,000	0,000	407,530	-9,760	444,630	1,090	123,290	0,000	0,000	0,000
16:18:23,926	-1,370	49,020	33,720	0,000	40,550	0,330	0,000	0,000	407,530	-9,760	444,630	1,090	123,290	0,000	0,000	0,000
16:18:24,194	-1,370	49,020	33,720	0,000	40,550	0,330	0,000	0,000	407,530	-9,760	444,630	1,090	123,290	0,000	0,000	0,000
16:18:24,474	-1,370	49,020	33,720	0,000	40,550	0,330	0,000	0,000	407,530	-9,760	444,630	1,090	123,290	0,000	0,000	0,000
16:18:24,742	-1,370	49,020	33,720	0,000	40,550	0,330	0,000	0,000	407,530	-9,760	444,630	1,090	123,290	0,000	0,000	0,000
16:18:25,018	-1,370	49,020	33,720	0,000	40,550	0,330	0,000	0,000	407,530	-9,760	444,630	1,090	123,290	0,000	0,000	0,000
16:18:25,293	-1,370	49,020	33,720	0,000	40,550	0,330	0,000	0,000	407,530	-9,760	444,630	1,090	123,290	0,000	0,000	0,000
16:18:25,566	-1,370	49,020	33,720	0,000	40,550	0,330	0,000	0,000	407,530	-9,760	444,630	1,090	123,290	0,000	0,000	0,000
16:18:25,842	-1,370	49,020	33,720	0,000	40,550	0,330	0,000	0,000	407,530	-9,760	444,630	1,090	123,290	0,000	0,000	0,000
16:18:26,119	-1,370	49,020	33,720	0,000	40,550	0,330	0,000	0,000	407,530	-9,760	444,630	1,090	123,290	0,000	0,000	0,000
16:18:26,390	-1,370	49,020	33,720	0,000	40,550	0,330	0,000	0,000	407,530	-9,760	444,630	1,090	123,290	0,000	0,000	0,000
16:18:26,666	-1,370	49,020	33,720	0,000	40,550	0,330	0,000	0,000	407,530	-9,760	444,630	1,090	123,290	0,000	0,000	0,000
16:18:26,947	-1,370	49,020	33,720	0,000	40,550	0,330	0,000	0,000	407,530	-9,760	444,630	1,090	123,290	0,000	0,000	0,000
16:18:27,213	-1,370	49,020	33,720	0,000	40,550	0,330	0,000	0,000	407,530	-9,760	444,630	1,090	123,290	0,000	0,000	0,000
16:18:27,488	-1,370	49,020	33,720	0,000	40,550	0,330	0,000	0,000	407,530	-9,760	444,630	1,090	123,290	0,000	0,000	0,000
16:18:27,761	-1,370	49,020	33,720	0,000	40,550	0,330	0,000	0,000	407,530	-9,760	444,630	1,090	123,290	0,000	0,000	0,000
16:18:28,033	-1,370	49,020	33,720	0,000	40,550	0,330	0,000	0,000	407,530	-9,760	444,630	1,090	123,290	0,000	0,000	0,000
16:18:28,308	-1,370	49,020	33,720	0,000	40,550	0,330	0,000	0,000	407,530	-9,760	444,630	1,090	123,290	0,000	0,000	0,000
16:18:28,578	-1,370	49,020	33,720	0,000	40,550	0,330	0,000	0,000	407,530	-9,760	444,630	1,090	123,290	0,000	0,000	0,000
16:18:28,850	-1,370	49,020	33,720	0,000	40,550	0,330	0,000	0,000	407,530	-9,760	444,630	1,090	123,290	0,000	0,000	0,000
16:18:29,125	-1,370	49,020	33,720	0,000	40,550	0,330	0,000	0,000	407,530	-9,760	444,630	1,090	123,290	0,000	0,000	0,000
16:18:29,395	-1,370	49,020	33,720	0,000	40,550	0,330	0,000	0,000	407,530	-9,760	444,630	1,090	123,290	0,000	0,000	0,000
16:18:29,666	-1,370	49,020	33,720	0,000	40,550	0,330	0,000	0,000	407,530	-9,760	444,630	1,090	123,290	0,000	0,000	0,000
16:18:29,931	-1,370	49,020	33,720	0,000	40,550	0,330	0,000	0,000	407,530	-9,760	444,630	1,090	123,290	0,000	0,000	0,000
16:18:30,199	-1,370	49,020	33,720	0,000	40,550	0,330	0,000	0,000	407,530	-9,760	444,630	1,090	123,290	0,000	0,000	0,000
16:18:30,472	-1,370	49,020	33,720	0,000	40,550	0,330	0,000	0,000	407,530	-9,760	444,630	1,090	123,290	0,000	0,000	0,000
16:18:30,745	-1,370	49,020	33,720	0,000	40,550	0,330	0,000	0,000	407,530	-9,760	444,630	1,090	123,290	0,000	0,000	0,000
16:18:31,010	-1,370	49,020	33,720	0,000	40,550	0,330	0,000	0,000	407,530	-9,760	444,630	1,090	123,290	0,000	0,000	0,000
16:18:31,290	-1,370	49,020	33,720	0,000	40,550	0,330	0,000	0,000	407,530	-9,760	444,630	1,090	123,290	0,000	0,000	0,000
16:18:31,560	-1,370	49,020	33,720	0,000	40,550	0,330	0,000	0,000	407,530	-9,760	444,630	1,090	123,290	0,000	0,000	0,000
16:18:31,833	-1,370	49,020	33,720	0,000	40,550	0,330	0,000	0,000	407,530	-9,760	444,630	1,090	123,290	0,000	0,000	0,000
16:18:32,107	-1,370	49,020	33,720	0,000	40,550	0,330	0,000	0,000	407,530	-9,760	444,630	1,090	123,290	0,000	0,000	0,000
16:18:32,386	-1,370	49,020	33,720	0,000	40,550	0,330	0,000	0,000	407,530	-9,760	444,630	1,090	123,290	0,000	0,000	0,000
16:18:32,657	-1,370	49,020	33,720	0,000	40,550	0,330	0,000	0,000	407,530	-9,760	444,630	1,090	123,290	0,000	0,000	0,000
16:18:32,931	-1,370	49,020	33,720	0,000	40,550	0,330	0,000	0,000	407,530	-9,760	444,630	1,090	123,290	0,000	0,000	0,000
16:18:33,205	-1,370	49,020	33,720	0,000	40,550	0,330	0,000	0,000	407,530	-9,760	444,630	1,090	123,290	0,000	0,000	0,000
16:18:33,482	-1,370	49,020	33,720	0,000	40,550	0,330	0,000	0,000	407,530	-9,760	444,630	1,090	123,290	0,000	0,000	0,000
16:18:33,752	-1,370	49,020	33,720	0,000	40,550	0,330	0,000	0,000	407,530	-9,760	444,630	1,090	123,290	0,000	0,000	0,000
16:18:34,012	-1,370	49,020	33,720	0,000	40,550	0,330	0,000	0,000	407,530	-9,760	444,630	1,090	123,290	0,000	0,000	0,000
16:18:34,282	-1,370	49,020	33,720	0,000	40,550	0,330	0,000	0,000	407,530	-9,760	444,630	1,090	123,290	0,000	0,000	0,000
16:18:34,558	-1,370	49,020	33,720	0,000	40,550	0,330	0,000	0,000	407,530	-9,760	444,630	1,090	123,290	0,000	0,000	0,000
16:18:34,832	-1,370	49,020	33,720	0,000	40,550	0,330	0,000	0,000	407,530	-9,760	444,630	1,090	123,290	0,000	0,000	0,000
16:18:35,108	-1,370	49,020	33,720	0,000	40,550	0,330	0,000	0,000	407,530	-9,760	444,630	1,090	123,290	0,000	0,000	0,000
16:18:35,385	-1,370	49,020	33,720	0,000	40,550	0,330	0,000	0,000	407,530	-9,760	444,630	1,090	123,290	0,000	0,000	0,000
16:18:35,655	-1,370	49,020	33,720	0,000	40,550	0,330	0,000	0,000	407,530	-9,760	444,630	1,090	123,290	0,000	0,000	0,000
